Files,Precision_n_CJT,Precision_n_DTO,Precision_n_DTQ,Precision_n_NULL,Precision_n_PNQ,Precision_n_VBZ,Recall_n_CJT,Recall_n_DTO,Recall_n_DTQ,Recall_n_NULL,Recall_n_PNQ,Recall_n_VBZ,F1_Score_n_CJT,F1_Score_n_DTO,F1_Score_n_DTQ,F1_Score_n_NULL,F1_Score_n_PNQ,F1_Score_n_VBZ,Model
results_that_CC_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_DT_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_IN_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_RB_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_WDT_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_WP_penn.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,penn
results_that_CJT_bnc.txt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,bnc
results_that_DTO_bnc.txt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,bnc
results_that_DTQ_bnc.txt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,bnc
results_that_NULL_bnc.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,bnc
results_that_PNQ_bnc.txt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,bnc
results_that_VBZ_bnc.txt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,bnc
